Gene,AUC,clusts,p.value,,,,
Mlxip,0.887472284,7,9.89E-06,,,,
Il17ra,0.887287509,7,8.08E-07,,,,
Ppfibp1,0.887102735,7,5.99E-06,,,,
Crebl2,0.887102735,7,1.38E-10,,,,
Kif27,0.886733186,7,2.32E-12,,,,
Icam1,0.886178862,7,7.00E-06,,,,
Fbxl6,0.885994087,7,1.28E-05,,,,
Fzd9,0.885624538,7,7.12E-11,,,,
C1ql1,0.885254989,7,2.03E-14,,,,
Sqle,0.885070214,7,1.31E-05,,,,
Ptprg,0.88488544,7,1.19E-06,,,,
Rfxap,0.88488544,7,3.80E-06,,,,
Ercc4,0.884700665,7,1.41E-05,,,,
1700052K11Rik,0.884515891,7,3.41E-12,,,,
Snhg10,0.884515891,7,4.98E-08,,,,
Nicn1,0.884515891,7,1.07E-05,,,,
Cpd,0.884146341,7,7.04E-06,,,,
Kl,0.883961567,7,1.60E-07,,,,
Kdm4a,0.883776792,7,8.04E-06,,,,
Fbrs,0.883592018,7,1.40E-05,,,,
Cnksr3,0.883592018,7,1.12E-06,,,,
Sap30l,0.883037694,7,1.67E-05,,,,
Gtpbp3,0.882760532,7,8.66E-06,,,,
Rfx7,0.882668145,7,4.37E-06,,,,
Iqub,0.88248337,7,1.70E-07,,,,
Dock11,0.881744272,7,2.24E-09,,,,
Slc29a2,0.881559497,7,6.76E-06,,,,
Galnt11,0.881374723,7,1.66E-05,,,,
4930515G01Rik,0.881374723,7,5.86E-12,,,,
Dusp5,0.880635625,7,7.74E-22,,,,
Qpctl,0.880266075,7,7.59E-07,,,,
Iqcf5,0.880173688,7,2.14E-15,,,,
Usp20,0.879342203,7,9.12E-07,,,,
Mup6,0.879249815,7,1.64E-26,,,,
Cbfa2t2,0.878972653,7,2.38E-05,,,,
1700019G17Rik,0.878972653,7,2.29E-07,,,,
Pcgf5,0.878972653,7,1.74E-05,,,,
Gpx7,0.878695492,7,2.75E-09,,,,
Gm6086,0.878603104,7,9.43E-12,,,,
Oat,0.87804878,7,1.83E-05,,,,
Akap2,0.877309682,7,1.33E-06,,,,
Rcor1,0.876940133,7,2.92E-05,,,,
Esyt1,0.876755358,7,2.48E-05,,,,
Bex1,0.876755358,7,1.48E-12,,,,
Zscan29,0.87601626,7,6.57E-06,,,,
Magi1,0.87601626,7,3.01E-06,,,,
B3gnt2,0.87601626,7,1.41E-05,,,,
Neo1,0.87601626,7,8.73E-06,,,,
Myo6,0.875831486,7,2.22E-05,,,,
Mypop,0.875646711,7,2.69E-07,,,,
Zfp623,0.875461936,7,2.01E-06,,,,
Map3k5,0.875461936,7,3.04E-05,,,,
Vasn,0.875184775,7,2.48E-11,,,,
Spesp1,0.875092387,7,1.82E-17,,,,
Pik3c2b,0.874907613,7,3.50E-05,,,,
Tcf12,0.874907613,7,1.24E-05,,,,
Cldn10,0.874260902,7,5.72E-12,,,,
Has3,0.874168514,7,3.10E-10,,,,
Map3k3,0.87398374,7,3.22E-05,,,,
Pi4k2a,0.873614191,7,3.85E-05,,,,
Fv1,0.873244642,7,2.98E-09,,,,
Entpd5,0.873059867,7,8.40E-06,,,,
Gna12,0.872320769,7,1.40E-06,,,,
Zdbf2,0.872320769,7,2.43E-06,,,,
Nab1,0.872135994,7,7.65E-06,,,,
Hesx1,0.872135994,7,2.48E-06,,,,
Zbtb41,0.87195122,7,2.76E-05,,,,
Zfp628,0.871766445,7,2.97E-07,,,,
Suv39h1,0.871396896,7,4.37E-05,,,,
Fundc1,0.871027347,7,4.67E-05,,,,
Raly,0.870842572,7,4.97E-05,,,,
Tacc1,0.870842572,7,5.00E-05,,,,
Gmeb2,0.870657797,7,2.15E-05,,,,
Cask,0.870657797,7,6.54E-06,,,,
Tmem170,0.87056541,7,1.56E-06,,,,
Mbtps2,0.870473023,7,4.90E-05,,,,
Defb23,0.870103474,7,1.37E-22,,,,
Fam174b,0.86954915,7,4.82E-15,,,,
A330049M08Rik,0.86954915,7,6.27E-08,,,,
Zfp944,0.869179601,7,5.79E-05,,,,
Homer1,0.868810052,7,2.20E-05,,,,
Prdm15,0.868625277,7,1.35E-05,,,,
Caml,0.868625277,7,5.86E-05,,,,
Plcd4,0.868070953,7,9.79E-07,,,,
Trpc6,0.867978566,7,3.19E-10,,,,
1700008J07Rik,0.867886179,7,2.40E-09,,,,
Clp1,0.867886179,7,6.30E-05,,,,
Gt(ROSA)26Sor,0.867886179,7,4.15E-06,,,,
Klb,0.867701404,7,2.37E-05,,,,
B630005N14Rik,0.867331855,7,1.93E-05,,,,
Zfp949,0.867331855,7,6.04E-05,,,,
Dennd5a,0.867147081,7,6.88E-05,,,,
Tbc1d13,0.867147081,7,6.86E-05,,,,
Bbs1,0.866962306,7,6.67E-11,,,,
Cpt1c,0.866685144,7,3.53E-12,,,,
Tbc1d23,0.866592757,7,7.27E-05,,,,
Fgd1,0.866223208,7,6.01E-06,,,,
Npy,0.865853659,7,9.95E-16,,,,
Sesn3,0.865484109,7,8.76E-06,,,,
Gm9994,0.865299335,7,2.58E-15,,,,
Tsc1,0.864745011,7,8.57E-05,,,,
Tdpoz2,0.864745011,7,2.10E-07,,,,
Ctf2,0.864005913,7,1.51E-15,,,,
Ints5,0.863821138,7,9.29E-05,,,,
Rpgrip1,0.863821138,7,8.74E-05,,,,
1700048O20Rik,0.863821138,7,7.86E-08,,,,
Ttc14,0.863636364,7,9.46E-05,,,,
Dst,0.863451589,7,8.74E-05,,,,
Rab2b,0.863451589,7,3.73E-05,,,,
Pglyrp1,0.862897265,7,1.80E-05,,,,
Vps13a,0.862158167,7,9.16E-05,,,,
Leng8,0.861973392,7,0.000108416,,,,
Gstcd,0.861788618,7,2.59E-05,,,,
Rnf145,0.861603843,7,2.90E-06,,,,
Cd47,0.861419069,7,7.54E-08,,,,
Tnk2,0.861234294,7,2.01E-05,,,,
Papd4,0.86104952,7,0.000116608,,,,
Gm5127,0.860864745,7,3.06E-15,,,,
1700042G15Rik,0.860772358,7,3.38E-07,,,,
Trub2,0.86067997,7,0.000114862,,,,
Atcay,0.86067997,7,9.48E-18,,,,
Fam118a,0.860310421,7,0.000126258,,,,
Cenpv,0.860310421,7,2.98E-05,,,,
Cry2,0.860125647,7,3.28E-05,,,,
Zfp407,0.860125647,7,0.000111099,,,,
Bcr,0.859940872,7,0.000102569,,,,
Acap3,0.859848485,7,5.74E-06,,,,
Phf7,0.859571323,7,1.21E-06,,,,
2210403K04Rik,0.859571323,7,5.85E-07,,,,
Hspb1,0.859386548,7,3.37E-06,,,,
Bcar1,0.859201774,7,5.69E-05,,,,
Diexf,0.859201774,7,0.000134428,,,,
Chml,0.858832225,7,3.71E-07,,,,
Foxc1,0.85864745,7,8.38E-07,,,,
Ankrd40,0.858462676,7,0.000143623,,,,
Filip1l,0.858462676,7,1.54E-07,,,,
Nbeal1,0.857723577,7,0.000156154,,,,
Ppm1d,0.857723577,7,4.75E-05,,,,
9430091E24Rik,0.857538803,7,2.39E-07,,,,
Rwdd2a,0.85661493,7,2.32E-06,,,,
Gm4349,0.85661493,7,0.000128968,,,,
Dmxl1,0.856430155,7,0.000171959,,,,
Capn11,0.856245381,7,7.67E-09,,,,
1700034F02Rik,0.856245381,7,1.10E-06,,,,
2310014L17Rik,0.856060606,7,2.66E-09,,,,
1700019L03Rik,0.856060606,7,3.88E-07,,,,
Ctrb1,0.855506282,7,2.37E-19,,,,
Mgat4a,0.854951959,7,0.000183242,,,,
Gm5972,0.854582409,7,1.06E-05,,,,
Dennd2a,0.854028086,7,1.69E-05,,,,
BC032203,0.853843311,7,0.00019279,,,,
Lck,0.853658537,7,5.68E-06,,,,
4931406C07Rik,0.853473762,7,0.00014145,,,,
Mbd6,0.852734664,7,0.000173007,,,,
Prkx,0.852549889,7,0.000117458,,,,
Cga,0.852549889,7,2.78E-11,,,,
Orc1,0.852365115,7,0.000243177,,,,
Nr6a1,0.851810791,7,0.000258497,,,,
Fah,0.851348854,7,2.86E-16,,,,
Eml5,0.851348854,7,8.58E-06,,,,
Phf21a,0.851071693,7,9.64E-05,,,,
Rgmb,0.850609756,7,0.000122906,,,,
Zfp644,0.99015748,8,3.32E-06,,,,
2610024G14Rik,0.987907762,8,3.86E-06,,,,
Dpep2,0.986501687,8,2.53E-08,,,,
Gm13718,0.985376828,8,2.16E-06,,,,
Rtn2,0.983127109,8,1.64E-09,,,,
Ell2,0.983127109,8,7.16E-06,,,,
Gm7104,0.981721035,8,4.07E-08,,,,
Prkcd,0.98143982,8,7.50E-06,,,,
Gm1995,0.98087739,8,6.39E-08,,,,
Tor1b,0.978065242,8,1.11E-05,,,,
Klhl21,0.975815523,8,1.29E-05,,,,
Oraov1,0.974128234,8,1.39E-05,,,,
Itpkc,0.973284589,8,1.18E-05,,,,
Lrrc15,0.97272216,8,2.79E-13,,,,
Snupn,0.971878515,8,1.70E-05,,,,
Lbx2,0.970472441,8,3.92E-13,,,,
Mad2l2,0.969628796,8,2.08E-05,,,,
2310047M10Rik,0.967941507,8,3.90E-09,,,,
Foxa1,0.966254218,8,2.06E-07,,,,
Ccdc137,0.965691789,8,2.60E-05,,,,
Slc22a20,0.964566929,8,6.75E-10,,,,
Ppp1r16b,0.96344207,8,3.17E-05,,,,
Arrdc1,0.963160855,8,2.44E-05,,,,
Dnajb9,0.961754781,8,3.46E-05,,,,
Gfpt1,0.960067492,8,4.18E-05,,,,
Klf17,0.959786277,8,4.50E-06,,,,
Aspg,0.958380202,8,2.70E-07,,,,
Apol7b|Apol7e,0.957255343,8,1.52E-10,,,,
Fcgr3,0.956974128,8,4.87E-05,,,,
Papolb,0.955005624,8,7.33E-07,,,,
Zfp335,0.95359955,8,6.24E-05,,,,
4632434I11Rik,0.953318335,8,6.82E-05,,,,
Tmem229b,0.953318335,8,2.58E-05,,,,
2010320M18Rik,0.953318335,8,1.71E-05,,,,
Ttc30a1,0.95303712,8,3.97E-07,,,,
Frat1,0.951912261,8,2.79E-05,,,,
Tigd3,0.951631046,8,3.02E-05,,,,
Polr1e,0.951068616,8,7.51E-05,,,,
Apol7b,0.950787402,8,2.50E-10,,,,
Ppapdc1b,0.950506187,8,8.06E-05,,,,
Ovol2,0.949381327,8,3.48E-05,,,,
Gtf3c4,0.949100112,8,8.68E-05,,,,
Fcgr2b,0.949100112,8,6.66E-05,,,,
Mtap7d2,0.947412823,8,8.09E-06,,,,
D16Ertd472e,0.947412823,8,6.19E-05,,,,
Mios,0.946850394,8,9.82E-05,,,,
1810019D21Rik,0.946569179,8,9.82E-05,,,,
4930453N24Rik,0.946287964,8,0.000109449,,,,
Rab43,0.945163105,8,1.45E-06,,,,
Klf2,0.944038245,8,0.000128524,,,,
Sardh,0.944038245,8,1.29E-07,,,,
Nin,0.941788526,8,0.000130119,,,,
Zfp639,0.941788526,8,0.000124321,,,,
Slc27a5,0.940382452,8,1.45E-08,,,,
Wdr81,0.940382452,8,0.000156584,,,,
Dcaf10,0.939257593,8,0.000169797,,,,
Tfip11,0.937570304,8,0.00020241,,,,
Pus1,0.936726659,8,0.000213576,,,,
Nom1,0.935883015,8,0.000226346,,,,
Dlg5,0.9356018,8,0.000174697,,,,
Tnip1,0.9356018,8,0.000232434,,,,
Spata21,0.9356018,8,1.54E-08,,,,
Nr2c2,0.935320585,8,0.000217758,,,,
A930001N09Rik,0.93503937,8,0.000224262,,,,
Fhl3,0.93447694,8,0.000236508,,,,
Jmjd6,0.933633296,8,0.000266166,,,,
Rnf6,0.933352081,8,0.000269175,,,,
4930432K21Rik,0.933070866,8,3.05E-05,,,,
Jmy,0.933070866,8,0.000269405,,,,
Wipf2,0.932508436,8,0.000286649,,,,
Chic1,0.931946007,8,6.04E-05,,,,
Nr1h3,0.930821147,8,6.33E-06,,,,
Zfp593,0.930821147,8,0.000321249,,,,
Tprn,0.930258718,8,0.000334692,,,,
Otud3,0.929696288,8,4.67E-05,,,,
Polr3a,0.928852643,8,0.00036488,,,,
AI846148,0.928290214,8,0.000365408,,,,
Gins3,0.928290214,8,0.000342626,,,,
Tbc1d9,0.928008999,8,0.000169664,,,,
Socs3,0.928008999,8,0.000372436,,,,
Atxn7,0.927727784,8,0.000393757,,,,
Rbm10,0.927446569,8,0.000400935,,,,
Rnf40,0.927446569,8,0.000403574,,,,
Gtf3c5,0.927165354,8,0.000387766,,,,
Slc19a3,0.92632171,8,2.62E-05,,,,
Urb2,0.92575928,8,0.000443718,,,,
Arhgap33,0.925478065,8,3.80E-08,,,,
Irgq,0.92519685,8,0.000394411,,,,
Tmed6,0.92519685,8,2.24E-06,,,,
Siah1a,0.924634421,8,0.000447304,,,,
Taf5l,0.923790776,8,0.000510428,,,,
Zfp143,0.923509561,8,0.000512727,,,,
Cox4i2,0.923509561,8,1.82E-05,,,,
Atp7a,0.923509561,8,0.000337394,,,,
Rab34,0.923509561,8,2.02E-06,,,,
Gm7609,0.923228346,8,2.01E-05,,,,
Avl9,0.923228346,8,0.000505101,,,,
Dnajc3,0.923228346,8,0.000502996,,,,
Ddx60,0.922947132,8,3.98E-06,,,,
2700023E23Rik,0.921541057,8,0.00048961,,,,
Pnldc1,0.917885264,8,0.000586475,,,,
Usp36,0.917885264,8,0.000753261,,,,
1700034H15Rik,0.917604049,8,9.94E-06,,,,
AI661453,0.91704162,8,0.000613106,,,,
Arid4b,0.91647919,8,0.000828002,,,,
Phkg2,0.916197975,8,0.000551515,,,,
Bbs2,0.916197975,8,0.000266494,,,,
Rwdd4a,0.916197975,8,0.000840283,,,,
Gm7120,0.915635546,8,3.22E-06,,,,
Spata5,0.915073116,8,0.00089095,,,,
Gm13034,0.915073116,8,0.000815875,,,,
Lst1,0.913948256,8,7.95E-05,,,,
Fabp4,0.913667042,8,0.000102997,,,,
Slc25a36,0.913104612,8,0.000958017,,,,
Unc119b,0.912542182,8,0.000877604,,,,
Snapc4,0.911979753,8,0.001064011,,,,
Trim71,0.911698538,8,0.001106684,,,,
Rspry1,0.910573678,8,0.000958889,,,,
Bace1,0.910573678,8,0.001210728,,,,
Lin52,0.910292463,8,0.000877953,,,,
Bcl2l11,0.909448819,8,0.000299905,,,,
Tlk2,0.909448819,8,0.001290756,,,,
Wdr85,0.908886389,8,0.001169861,,,,
Slc25a28,0.90776153,8,0.001401199,,,,
Med23,0.907480315,8,0.00146281,,,,
Ocm,0.9071991,8,0.000826743,,,,
Krt28,0.9071991,8,8.65E-08,,,,
Ifi27l1,0.907058493,8,1.97E-09,,,,
Itgb5,0.90663667,8,0.001525412,,,,
2210016L21Rik,0.906355456,8,0.001573112,,,,
Prdm4,0.906355456,8,0.001553767,,,,
Kif2c,0.906355456,8,0.001583796,,,,
Urb1,0.906355456,8,0.001420494,,,,
Ranbp10,0.905793026,8,0.001631524,,,,
Dph2,0.905793026,8,0.001402443,,,,
Rps19bp1,0.905793026,8,0.001639206,,,,
Fam134c,0.904949381,8,0.001608304,,,,
Soat2,0.903683915,8,1.94E-05,,,,
Bnip2,0.902418448,8,0.00100019,,,,
Rg9mtd1,0.901856018,8,0.002052949,,,,
Plekhm1,0.901574803,8,0.002133711,,,,
Naf1,0.901012373,8,0.002195513,,,,
Ciita,0.900731159,8,1.50E-06,,,,
Kif18a,0.900449944,8,0.002288595,,,,
Dcun1d3,0.900168729,8,0.002292975,,,,
Zfp874b,0.900168729,8,0.001972313,,,,
Polq,0.899887514,8,0.002268641,,,,
1700049G17Rik,0.898903262,8,0.0001043,,,,
Ramp2,0.89848144,8,9.98E-05,,,,
Tmem87b,0.898200225,8,0.002530792,,,,
Mettl11a,0.897637795,8,0.002605933,,,,
Mnt,0.895950506,8,0.002640219,,,,
Mmgt1,0.895669291,8,0.003036684,,,,
Nr1d2,0.895669291,8,0.001853166,,,,
Dgke,0.895106862,8,0.002723984,,,,
Khdc1a,0.894825647,8,0.003229509,,,,
Dydc2,0.894544432,8,4.66E-09,,,,
Atg16l1,0.894544432,8,0.003244813,,,,
Rnf103,0.894544432,8,0.000754433,,,,
Slc25a38,0.893982002,8,0.003215413,,,,
0610005C13Rik,0.893982002,8,0.000164725,,,,
Dmrtb1,0.892716535,8,0.00041034,,,,
Gpank1,0.891732283,8,0.003863976,,,,
Ctsh,0.891732283,8,0.002375565,,,,
Zfp668,0.891732283,8,0.001625122,,,,
D17H6S53E,0.891451069,8,0.002082975,,,,
Itgb4,0.890888639,8,0.000223743,,,,
Ece2,0.890326209,8,0.004018913,,,,
Snta1,0.890044994,8,3.19E-05,,,,
Dusp16,0.88976378,8,0.002412299,,,,
Rbm19,0.88976378,8,0.004368441,,,,
Suds3,0.889482565,8,0.00445243,,,,
Snf8,0.88920135,8,0.00452967,,,,
4933421E11Rik,0.88920135,8,0.003751241,,,,
Fam89b,0.88863892,8,0.001218111,,,,
Tbp,0.887232846,8,0.005099908,,,,
2810408M09Rik,0.887232846,8,0.003353209,,,,
Tmem150c,0.886389201,8,1.96E-08,,,,
Gapt,0.886107987,8,6.43E-10,,,,
Ubxn11,0.885686164,8,0.000182177,,,,
1200011M11Rik,0.884983127,8,0.005814225,,,,
Gata1,0.884983127,8,0.003136382,,,,
Jub,0.884983127,8,0.004842585,,,,
Fem1b,0.884701912,8,0.005899686,,,,
Dhx29,0.884420697,8,0.005829196,,,,
Tfb2m,0.883577053,8,0.006115863,,,,
Enpp3,0.883014623,8,0.000554905,,,,
Zkscan1,0.883014623,8,0.006523655,,,,
Sart1,0.882733408,8,0.006624219,,,,
Ubtd2,0.882452193,8,0.005111279,,,,
Ptpn1,0.882170979,8,0.00670654,,,,
B230312A22Rik,0.881046119,8,0.006682149,,,,
Atl3,0.88048369,8,0.006435393,,,,
Apaf1,0.880202475,8,0.007692548,,,,
Gucy2e,0.880202475,8,0.002283718,,,,
Pigm,0.880202475,8,0.007511197,,,,
Zscan10,0.880202475,8,0.0036432,,,,
Cebpd,0.87992126,8,2.81E-05,,,,
Skp2,0.879640045,8,0.007927913,,,,
D230037D09Rik,0.879640045,8,0.007398611,,,,
BC030867,0.878233971,8,0.008626401,,,,
Mast3,0.878233971,8,0.005895924,,,,
Lrrc8a,0.877952756,8,0.00877146,,,,
Snora68,0.877671541,8,0.008414951,,,,
Polr3h,0.877671541,8,0.008269097,,,,
Gcfc1,0.877671541,8,0.008802722,,,,
Tsen54,0.877390326,8,0.007200244,,,,
Lztfl1,0.876546682,8,0.008795159,,,,
Nipal1,0.876265467,8,0.009316034,,,,
4921517L17Rik,0.875421822,8,0.002723583,,,,
Npc1l1,0.874718785,8,0.000650974,,,,
Fkbpl,0.872047244,8,0.00590226,,,,
Pkn3,0.870922385,8,0.003759248,,,,
Mars2,0.869797525,8,0.007630367,,,,
Cdc42ep2,0.869235096,8,0.002441006,,,,
Pex11a,0.868953881,8,0.003583968,,,,
Tmc8,0.867829021,8,0.000337296,,,,
4933403G14Rik,0.866704162,8,4.34E-06,,,,
Neto2,0.866141732,8,0.003832776,,,,
Isg20,0.865860517,8,4.64E-07,,,,
Exd1,0.865016873,8,0.002825694,,,,
Eda,0.864595051,8,2.12E-06,,,,
Tmem173,0.863892013,8,8.19E-12,,,,
Efcab5,0.86192351,8,0.007040099,,,,
6430548M08Rik,0.861079865,8,0.000392967,,,,
2510049J12Rik,0.861079865,8,0.000474652,,,,
Ppp1r13l,0.859111361,8,0.002250386,,,,
Ccdc63,0.858830146,8,0.000120419,,,,
Gm14458,0.858267717,8,5.30E-05,,,,
Ccdc134,0.857845894,8,0.006743464,,,,
Igfbp3,0.856158605,8,1.41E-07,,,,
Fgfrl1,0.856017998,8,0.000153319,,,,
Ccdc155,0.854611924,8,0.000394197,,,,
Gm5634,0.85264342,8,7.56E-05,,,,
Fthl17,0.851799775,8,0.000192689,,,,
Egfl8,0.850674916,8,1.08E-06,,,,
Fam46a,0.850674916,8,0.000485114,,,,
Mageb4,0.850674916,8,8.59E-08,,,,
Gm5635,0.850393701,8,0.000166286,,,,
Prmt1,1,9,0.001719654,,,,
Scand1,1,9,0.000355015,,,,
Ccne1,0.999571,9,0.001712927,,,,
Thop1,0.999571,9,0.001723157,,,,
Stub1,0.999571,9,0.001409241,,,,
Galk1,0.998283998,9,0.001870257,,,,
Zfp428,0.998283998,9,9.52E-07,,,,
Fdx1l,0.998283998,9,2.72E-07,,,,
Lsm4,0.997425997,9,0.001973633,,,,
Sfpi1,0.997425997,9,6.06E-05,,,,
Kctd10,0.996996997,9,0.002007753,,,,
Gm5801,0.996996997,9,0.001971662,,,,
Fam100b,0.996567997,9,4.10E-05,,,,
Med25,0.996567997,9,0.00171104,,,,
Tyms-ps,0.996138996,9,0.001864995,,,,
Mon1a,0.996138996,9,0.002052052,,,,
Pias4,0.996138996,9,0.002052052,,,,
Gm3258,0.995280995,9,0.002212832,,,,
Impdh1,0.995280995,9,0.002195513,,,,
2010317E24Rik,0.994851995,9,0.001579053,,,,
Plbd1,0.994851995,9,0.002126807,,,,
Akt1s1,0.994422994,9,0.002072589,,,,
Xrcc1,0.993993994,9,0.002339686,,,,
Trim7,0.993564994,9,2.81E-14,,,,
Ddx54,0.993564994,9,0.002412299,,,,
Dohh,0.993564994,9,0.002237861,,,,
Gm6251,0.992706993,9,0.002274315,,,,
Pitpnb,0.992706993,9,0.00252052,,,,
E130218I03Rik,0.992277992,9,9.30E-12,,,,
Pgp,0.990561991,9,0.002735591,,,,
Chchd10,0.99013299,9,0.002746478,,,,
Fbxo31,0.99013299,9,0.002412299,,,,
Atp6v0c,0.989274989,9,2.33E-15,,,,
Ctsc,0.989274989,9,0.002995294,,,,
Clptm1,0.989274989,9,0.002978061,,,,
Ube2j2,0.988845989,9,0.00305192,,,,
Tcfeb,0.988416988,9,0.00282179,,,,
Rpl30,0.987987988,9,0.003100131,,,,
Gm5129,0.987987988,9,2.62E-07,,,,
Gltscr2,0.987987988,9,0.003190499,,,,
Mrps26,0.987558988,9,0.003223866,,,,
Slc4a11,0.987558988,9,0.003240051,,,,
Hes1,0.987129987,9,0.003290037,,,,
Rdh10,0.985842986,9,0.003271227,,,,
Vps37b,0.985413985,9,0.003173599,,,,
Slc35f2,0.984984985,9,0.003688426,,,,
Ddit4,0.984984985,9,0.001295395,,,,
Kti12,0.984555985,9,0.003731764,,,,
Cthrc1,0.983697984,9,0.000691809,,,,
A730008H23Rik,0.983268983,9,3.62E-22,,,,
Rpl5,0.983268983,9,0.004003073,,,,
Uba5,0.983268983,9,0.003974216,,,,
Rps23,0.982839983,9,0.004088154,,,,
Acads,0.982839983,9,0.003129143,,,,
Fstl3,0.982839983,9,0.000632987,,,,
Gm6787,0.982839983,9,0.002875041,,,,
Gtpbp6,0.982410982,9,1.55E-13,,,,
Apba3,0.982410982,9,0.003547267,,,,
5430407P10Rik,0.981552982,9,0.003023811,,,,
Cog8,0.98026598,9,0.000142839,,,,
Fam98c,0.97983698,9,5.93E-08,,,,
Taf6l,0.979407979,9,1.70E-06,,,,
Pigx,0.978978979,9,0.004821512,,,,
Fam195a,0.978120978,9,0.005078423,,,,
Fgf3,0.977691978,9,1.29E-08,,,,
Cchcr1,0.977262977,9,1.36E-05,,,,
Gorasp1,0.976833977,9,0.003449854,,,,
Slc24a6,0.976404976,9,0.005571968,,,,
Rab20,0.975975976,9,0.005320366,,,,
Cyr61,0.975975976,9,0.002271475,,,,
Mrps30,0.975975976,9,0.005666267,,,,
Map1lc3a,0.975546976,9,0.0058208,,,,
Jtb,0.974259974,9,0.006142067,,,,
Hmg20b,0.973830974,9,0.006013803,,,,
Mir3474,0.973830974,9,2.61E-26,,,,
Aacs,0.973401973,9,0.006435393,,,,
Tmem66,0.972972973,9,0.006566871,,,,
Rnf126,0.972114972,9,0.006100273,,,,
Uap1l1,0.972114972,9,0.0064776,,,,
Ctu2,0.971685972,9,0.005981688,,,,
9530008L14Rik,0.971256971,9,0.006233612,,,,
Homer3,0.970827971,9,2.13E-09,,,,
Gm16517,0.97039897,9,0.005248313,,,,
Hnrnph3,0.96996997,9,0.002025696,,,,
Rpl26,0.968682969,9,0.007909167,,,,
Acer2,0.968682969,9,0.002477536,,,,
Crlf3,0.967824968,9,0.008404651,,,,
Thumpd1,0.967395967,9,0.008579618,,,,
Lpar5,0.966966967,9,2.51E-05,,,,
Fdx1,0.966966967,9,0.008435076,,,,
Tbc1d20,0.966108966,9,0.007672094,,,,
Wnt10b,0.965679966,9,6.37E-08,,,,
Dusp12,0.965679966,9,0.009241825,,,,
Pqlc1,0.965250965,9,0.00941464,,,,
Tmem50b,0.965250965,9,0.009440646,,,,
Lasp1,0.964821965,9,0.009562017,,,,
4921533I20Rik,0.963963964,9,1.16E-17,,,,
Rpl18a,0.963963964,9,0.004628502,,,,
Sync,0.96010296,9,0.000113645,,,,
Rarg,0.95967396,9,0.006755458,,,,
Socs1,0.95967396,9,0.004704769,,,,
Cno,0.959244959,9,0.005332302,,,,
Kcnf1,0.956241956,9,5.48E-05,,,,
Zfp219,0.956241956,9,0.00020241,,,,
Tcirg1,0.954954955,9,0.004143254,,,,
Dll3,0.951522952,9,0.00126765,,,,
Tspan4,0.951093951,9,0.009105502,,,,
Oasl2,0.950664951,9,0.00141768,,,,
Tmem120b,0.950664951,9,0.00201074,,,,
Tulp1,0.948948949,9,7.01E-05,,,,
Ppm1j,0.947661948,9,1.51E-05,,,,
Tnfrsf17,0.945945946,9,0.001256113,,,,
B4galnt1,0.943371943,9,2.53E-05,,,,
Foxi3,0.942513943,9,8.33E-06,,,,
Csdc2,0.942084942,9,0.000168597,,,,
Tmem160,0.941226941,9,0.003731795,,,,
Jakmip1,0.940797941,9,0.005265171,,,,
Prtn3,0.939081939,9,1.13E-08,,,,
Akr7a5,0.936507937,9,0.006569161,,,,
F630110N24Rik,0.934577435,9,6.74E-09,,,,
Scrn2,0.933933934,9,9.97E-05,,,,
Rac3,0.931359931,9,0.006298776,,,,
Hand1,0.927927928,9,0.00899662,,,,
2610206C17Rik,0.924066924,9,0.000266336,,,,
Arl10,0.922350922,9,1.65E-08,,,,
6330403K07Rik,0.921492921,9,0.000241261,,,,
Fkbp10,0.916988417,9,0.000111629,,,,
Fbxl15,0.916988417,9,6.79E-07,,,,
Fkbp1b,0.913770914,9,0.00594791,,,,
D730005E14Rik,0.913341913,9,3.05E-05,,,,
Npw,0.912698413,9,4.85E-07,,,,
Fam65c,0.911840412,9,9.17E-08,,,,
Syp,0.911625912,9,0.0013974,,,,
Map6d1,0.911196911,9,0.000372696,,,,
F2,0.91033891,9,0.008113531,,,,
Rundc2a,0.909051909,9,2.16E-05,,,,
Abhd3,0.906477906,9,0.005081165,,,,
Aqp11,0.906048906,9,0.00959409,,,,
Ankrd9,0.901329901,9,0.003517642,,,,
Zbtb49,0.9004719,9,0.007108734,,,,
Tmem184a,0.8996139,9,2.92E-05,,,,
Loxl1,0.895967396,9,1.00E-05,,,,
Flt3l,0.894036894,9,0.009440646,,,,
Asb16,0.891462891,9,0.000142607,,,,
Ppp1r14a,0.89017589,9,3.90E-05,,,,
Grin2d,0.887601888,9,0.006000423,,,,
Adamts14,0.884384384,9,0.000130771,,,,
B3galt4,0.877091377,9,0.00035295,,,,
Rhcg,0.875804376,9,0.000102192,,,,
Mir1956,0.873444873,9,3.10E-05,,,,
Snord43,0.871299871,9,9.80E-06,,,,
1700001O22Rik,0.868296868,9,0.001627784,,,,
Cxcr7,0.868296868,9,0.007721986,,,,
Slc25a21,0.865293865,9,0.004635917,,,,
Kcnk4,0.864221364,9,1.35E-05,,,,
Ube1y1,0.863148863,9,0.009451716,,,,
Synpr,0.858858859,9,6.25E-05,,,,
Osta,0.854997855,9,0.000436819,,,,
Gdf9,1,10,7.61E-08,,,,
Gdpd1,1,10,1.49E-07,,,,
H1foo,1,10,4.51E-10,,,,
Oas1d,1,10,1.30E-07,,,,
Bpgm,1,10,1.38E-09,,,,
Fbxw18,1,10,9.60E-11,,,,
